学生句子,参考文献1中句子,相似度1,参考文献2中句子,相似度2
对《翻转课堂的冷思考：,目的在于了解学生对翻转课堂教学模式的态度以及对课程实施的意见。,0.45454545454545453,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.45454545454545453
实证与反思》的归纳总结：,它的设计、开发、教学运用、评价、管理、经验总结为翻转课堂制作视频作了实践与理论基础和素材资源[4]。,0.16666666666666666,强调学生在实践中的参与、体验以及实践之后的反思和共享等对知识习得的作用，,0.3333333333333333
翻转课堂作为一种新颖的教学方式，,翻转课堂(FlippedClassroom)是一种新型教学模式，,0.625,[10]翻转课堂作为一种“先使用视频自学，,0.5625
最近几年深受教师的喜爱，,翻转课堂最初的构想来源于美国林地公园学校(WoodlandPark)的乔纳森•伯尔曼(JonathanBergman)和亚伦•萨姆斯(AaronSams)这两位化学教师[3]。,0.25,这里的课堂活动不是传统的“授受主义”的单一的教师讲授，,0.25
但是本篇论文通过实践发现翻转课堂并没有大幅度的提高教学效果。,实验组班级采用本文论述的翻转课堂教学模式进行教学，,0.26666666666666666,通过“非线性编辑”课程翻转课堂教学实施和教学效果分析发现，,0.3333333333333333
本文以非线性编辑为例，,以“计算机应用基础”课程为例，,0.2727272727272727,我们依据历年该课程评价的方式——以“非线性编辑”课程作品评价量规为工具，,0.6363636363636364
进行了翻转课堂的课前视频录制，,它往往以微视频形式作为翻转课堂课前学生自学的重要资源。,0.4,“翻转课堂”视频录制与准备,0.5333333333333333
并且结合了相关视频资料以供学生选择。,并传到网上供那些因故不能按时上课的学生补习使用。,0.2222222222222222,我们还搜集、整理了与课程相关的视频资料，,0.3333333333333333
在进行课程的前一周，,地进行课前自主学习，,0.4,并针对“知识点组”进行课前教学视频录制，,0.4
教师与学生共享视频，,教师利用华为网盘给学生分享教学资源，,0.5,这均对教师处理课程知识内容的能力与教学视频设计能力提出了新要求，,0.6
学生自主学习，,提高学生自主学习能力，,0.8571428571428571,“颠倒的教室”不是学生毫无组织的、自由的、随意的学习，,0.7142857142857143
并且可以通过各种联系方式与教师沟通。,他们把精力集中在完成练习以及与教师同学的交流上。,0.2222222222222222,可以通过面对面交谈、网络交流(如QQ、飞信、微信等)等方式向教师请教或与同学讨论来解决。,0.4444444444444444
教师先进行疑惑解答，,课上以小组协作学习以及教师答疑解惑为主，,0.4,以便教师在课堂上进行专题讲解或组织讨论。,0.5
以学生的自主探究讨论为主。,所以为“以学生为中心”提供了可,0.3076923076923077,促使学生课后自主探究与反思，,0.46153846153846156
在课后翻转课堂要求学生对知识进行进一步内化，,翻转课堂教学模式作为一种人性化的课堂策略，,0.3181818181818182,翻转课堂并没有明显地提升学生对知识与技能的习得水平。,0.4090909090909091
翻转课堂是贯穿课前自学，,它往往以微视频形式作为翻转课堂课前学生自学的重要资源。,0.6666666666666666,我们利用“翻转课堂”对课程教学进行了革新。,0.5
课后升华等三个阶段的策略和工具。,将课堂划分为四个阶段，,0.25,还是贯通课前自学、课中内化、课后升华等三个阶段的策略和工具，,0.875
所以说翻转课堂十分依赖于探究活动的组织。,教师是学生学习的指导者、资源的提供者、课堂活动的组织者，,0.3,调查发现“非线性编辑”课程翻转课堂的探究活动组织得比较多(非常多17.,0.5
翻转课堂鼓励教师与学生的共同与交流，,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.3888888888888889,(1)教学视频的研发者与建构者翻转课堂首先要求教师是教学视频的研发者与,0.4444444444444444
但是实际情况是：,但缺乏教学的实际经验，,0.375,还可以根据学生的实际情况对教学内容进行针对性讲解，,0.5
学生虽然能理解到交流的重要性，,它往往以微视频形式作为翻转课堂课前学生自学的重要资源。,0.26666666666666666,学生虽能意识到交流和沟通对学习的促进作用，,0.4666666666666667
但是经常羞于交流。,但缺乏教学的实际经验，,0.2222222222222222,是否经常利用QQ、飞信、微信等网络交流手段或面对面的交流手段进行交流是否经常与同学进行合作学习或协作探究是否经常向老师请教或讨论不懂的问题,0.5555555555555556
从结果方面来看，,但从目前来看对他们自身成绩的提升帮助,0.375,我们从教学视频和实践活动两方面对课程教学进行了准备。,0.375
翻转课堂对于学生对知识的掌握能力方面并没有明显的提升。,翻转课堂教学模式对于学习中等的学生会有明显的效果，,0.37037037037037035,学生对非线性编辑的技能并没有较为明显的提升。,0.4074074074074074
最后本文对翻转课堂进行了反思。,实验组班级采用本文论述的翻转课堂教学模式进行教学，,0.5333333333333333,还没有看到从实证的角度对翻转课堂进行研究的案例。,0.4666666666666667
对《基于翻转课堂模式的教学设计与应用研究》的归纳总结：,设计了较为完整的基于翻转课堂模式的教学设计方案，,0.4444444444444444,笔者于2012年秋对信阳师范学院开设的“非线性编辑”课程进行了“翻转课堂”教学实践研究，,0.3333333333333333
本文首先对翻转课堂进行了分析，,实验组班级采用本文论述的翻转课堂教学模式进行教学，,0.5333333333333333,还没有看到从实证的角度对翻转课堂进行研究的案例。,0.4666666666666667
构建了翻转课堂的模型。,2011年美国学者Gerstein[8]最先构建了翻转课堂的教学模型，,0.7272727272727273,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.45454545454545453
课前教师准备视频，,学习教师准备好的微视频内容，,0.6666666666666666,教师首先将事先准备好的教学视频共享到网络硬盘，,0.6666666666666666
学生进行自主学习。,提高学生自主学习能力，,0.6666666666666666,学生进行自主探适宜的时候进行指导或辅导，,0.6666666666666666
课中分为5个阶段进行教学。,将课堂划分为四个阶段，,0.46153846153846156,笔者于2012年秋对信阳师范学院开设的“非线性编辑”课程进行了“翻转课堂”教学实践研究，,0.38461538461538464
进行对照性试验，,采用对照实验和问卷调查研究方法，,0.375,还可以根据学生的实际情况对教学内容进行针对性讲解，,0.5
结果发现实验班学生的成绩比对照班学生的成绩优秀。,实验班成绩比对照班高出3.,0.375,课程教学视频资源的视觉效果优教学视频能激发学习兴趣教学视频长度比较适中教师能及时提供视频的重难点讲解手册教学视频的互动性较强,0.20833333333333334
经过问卷调查发现，,采用对照实验和问卷调查研究方法，,0.4444444444444444,同时对授课对象——2010级教育技术学班的65名学生进行问卷调查，,0.4444444444444444
学生对于翻转课堂的态度很好，,目的在于了解学生对翻转课堂教学模式的态度以及对课程实施的意见。,0.6428571428571429,一个能激发学生学习兴趣、引导学习的视频是翻转课堂实施的前提和保障。,0.42857142857142855
也提出了一些意见。,学生对课程提出的意见主要有三点。,0.4444444444444444,也对学生的学习能力提出了新要求。,0.3333333333333333
最后本文对翻转课堂进行了反思。,实验组班级采用本文论述的翻转课堂教学模式进行教学，,0.5333333333333333,还没有看到从实证的角度对翻转课堂进行研究的案例。,0.4666666666666667
我认为翻转课堂对教师的要求很高，,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.375,翻转课堂活动组织对教师的教学能力有了更高的要求。,0.5625
师生角色重定位是翻转课堂的基石。,萨尔曼•可汗也是翻转课堂教学实施的领军人物。,0.3125,进行师生角色重定位、精制课程教学视频、重建课堂对话是真正实现翻转课堂的有效路径。,0.75
翻转课堂由传统的教学方式转变为视频—课堂—教师的教学模式。,翻转课堂教学模式有着不同于传统教学模式的特点。,0.3793103448275862,实现翻转的“基”传统的“教师—书本—课堂”式的教学方式，,0.3793103448275862
教师不仅要会录能录视频还要将视频录制的有结构，,教师课前将微视频资源和相关文本文件同时上传到网盘中，,0.21739130434782608,课程教学视频资源的视觉效果优教学视频能激发学习兴趣教学视频长度比较适中教师能及时提供视频的重难点讲解手册教学视频的互动性较强,0.30434782608695654
还要保证视频的长度不要过长。,可汗学院中的微视频课程受到了广大学生的高度喜爱。,0.21428571428571427,还减缩了单个视频的长度(单个视频长度控制在5~,0.42857142857142855
在课堂教学中，,为我们现在的课堂教学带来了新的思路。,0.7142857142857143,在“非线性编辑”课程翻转课堂教学实践中，,0.8571428571428571
教师应作为学生学习的引导者，,"教师作为课堂指导者、学生学习的帮助者和资源的提供者,",0.6428571428571429,如对教师教学质量的评价、对学生学习效果的评价、对课程或教学内容的评价、对教学媒介手段的评价等。,0.42857142857142855
