学生句子,参考文献1中句子,相似度1,参考文献2中句子,相似度2
卢强的翻转课堂的冷思考实证与反思中主要写了三部分，,微课程可以说是翻转课堂的主要载体，,0.24,以期掌握有效进行“翻转课堂”教学实践的过程、方法与注意事项，,0.24
首先进行视频的准备与录制，,0来进行微视频的录制与后期制作，,0.46153846153846156,并针对“知识点组”进行课前教学视频录制，,0.46153846153846156
他的活动设计与任务可以说是重点，,微课程可以说是翻转课堂的主要载体，,0.25,“翻转课堂”实践活动设计与任务“非线性编辑”作为一门理论与实践结合并偏重实,0.5
整个环节为课前自学，,它往往以微视频形式作为翻转课堂课前学生自学的重要资源。,0.5,设计了包括“课前自学、课中内化讨论和课后升华”三个阶段的翻转课堂实施过程(见图1)。,0.4
其中课前自学主要依靠学生的主动性，,其中课前教师和学生承担不同的任务，,0.35294117647058826,课程教学视频资源的视觉效果优教学视频能激发学习兴趣教学视频长度比较适中教师能及时提供视频的重难点讲解手册教学视频的互动性较强,0.29411764705882354
学生可以根据一定的任务来检验自己的学识。,之后学生要总结自己学到的知识以及存在的问题，,0.3,还可以根据学生的实际情况对教学内容进行针对性讲解，,0.25
遇到问题可与教师，,小组长将问题汇总后反馈给教师。,0.4444444444444444,如果问题是操作性的、过程性的或通过教师讲解即可解决的，,0.4444444444444444
同学交流或记录未解决问题上传给老师。,他们把精力集中在完成练习以及与教师同学的交流上。,0.2777777777777778,记录讨论之后遗留的暂时解决不了的问题，,0.3333333333333333
课中内化是教师适时引导，,课中教师作为指导者引导学生交流讨论、巩固练习。,0.5,教师此时要注意引导好讨论方向，,0.4166666666666667
进行探究式课堂和讨论式课堂。,翻转课堂教学模式作为一种人性化的课堂策略，,0.35714285714285715,是否经常利用QQ、飞信、微信等网络交流手段或面对面的交流手段进行交流是否经常与同学进行合作学习或协作探究是否经常向老师请教或讨论不懂的问题,0.42857142857142855
其流程均为教师引导学生理解，,课中教师作为指导者引导学生交流讨论、巩固练习。,0.42857142857142855,其课程教学只有实现理论知识学习与实践技能培养的有机融合，,0.35714285714285715
从而抛出问题，,(1)合作探究阶段合作探究阶段由教师安排任务或提出相关问题，,0.42857142857142855,从而真正使课堂成为学生质疑问难、解决问题、内化知识的场所。,0.5714285714285714
引导学生去探索思考。,"引导学生向探究的深层思维发展,",0.6,引导学生对所讲解问题进行更深层次的思考与争鸣。,0.6
最后教师对整个过程梳理和总结。,我们将模型的整个过程分为课前和课中两部分。,0.3333333333333333,教师则对讨论过程进行梳理与总结，,0.6
这对教师的学科知识和思维能力是一项不小的挑战。,也能促进教师教学水平和教育技术能力的提高。,0.2608695652173913,教学视频研发者与建构者的角色不仅对教师的视频录制技能、教学设计技能、教学知识处理能力、知识讲解能力等提出了新的要求，,0.34782608695652173
解决的问题是反思与审视：,为大家解决所有问题，,0.3333333333333333,引导学生对所讲解问题进行更深层次的思考与争鸣。,0.4166666666666667
翻转课堂首要任务？,微课程可以说是翻转课堂的主要载体，,0.5555555555555556,翻转课堂教学的首要任务1.,0.8888888888888888
学习活动的设计者，,教师是学生学习的指导者、资源的提供者、课堂活动的组织者，,0.5555555555555556,(2)学习活动的设计者、组织者与参与者,0.7777777777777778
参与者与组织者分别是谁？,教师是学生学习的指导者、资源的提供者、课堂活动的组织者，,0.3333333333333333,(1)教学视频的研发者与建构者翻转课堂首先要求教师是教学视频的研发者与,0.3333333333333333
