学生句子,参考文献1中句子,相似度1,参考文献2中句子,相似度2
《基于翻转课堂模式的教学设计及应用研究》文章提出了翻转课堂的教学模型，,文章提出了翻转课堂的教学模型，,0.34285714285714286,笔者于2012年秋对信阳师范学院开设的“非线性编辑”课程进行了“翻转课堂”教学实践研究，,0.2571428571428571
以“计算机应用基础”课程为例，,以“计算机应用基础”课程为例，,0.9333333333333333,我们依据历年该课程评价的方式——以“非线性编辑”课程作品评价量规为工具，,0.4
介绍了翻转课堂的定义及载体，,微课程可以说是翻转课堂的主要载体，,0.42857142857142855,基于“翻转课堂”教学的具体形式，,0.35714285714285715
设计了较为完整的基于翻转课堂模式的教学设计方案，,设计了较为完整的基于翻转课堂模式的教学设计方案，,0.8333333333333334,基于“翻转课堂”教学的具体形式，,0.3333333333333333
在教学实践中，,在教学实践中，,0.8571428571428571,在“非线性编辑”课程翻转课堂教学实践中，,0.8571428571428571
采用对照实验和问卷调查研究方法，,采用对照实验和问卷调查研究方法，,0.9375,同时对授课对象——2010级教育技术学班的65名学生进行问卷调查，,0.3125
对学习效果进行分析。,对学习效果进行分析。,0.9,2013年第8期(总第244期)二、翻转课堂教学效果分析,0.5
翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.9655172413793104,翻转课堂教学的全过程要求学生积极参与其中，,0.3448275862068966
《翻转课堂的冷思考:,翻转课堂成为国内外教育界的热门话题。,0.4,固和融会贯通”的“翻转课堂”(theFlippedClassroom，,0.4
实证与反思》文章提出了翻转课堂通过“课前观看视频学习知识、课上知识内化”的方式实现了对传统课堂教学的革新。,文章提出了翻转课堂的教学模型，,0.18867924528301888,学生通过课前观看教师提供的教学视频习得知识、操作技能。,0.22641509433962265
为检验其效果，,四实验过程及学习效果分析,0.42857142857142855,绝大多数学生认为本课程的教学视频资源的视觉效果较好，,0.42857142857142855
我们进行了教学实证研究。,政策的制定者虽然对教学理念研究很多，,0.3333333333333333,笔者于2012年秋对信阳师范学院开设的“非线性编辑”课程进行了“翻转课堂”教学实践研究，,0.5833333333333334
翻转课堂并没有大幅度提高教学效果。,翻转课堂教学模式对于学习中等的学生会有明显的效果，,0.47058823529411764,翻转课堂并没有明显地提升学生对知识与技能的习得水平。,0.5294117647058824
仅仅做到形似而非神似是教学实践效果没有明显提升的主要原因。,教学效果得到显著改善，,0.1724137931034483,学生对非线性编辑的技能并没有较为明显的提升。,0.2413793103448276
要真正实现翻转课堂，,而实施翻转课堂之后，,0.5,进行师生角色重定位、精制课程教学视频、重建课堂对话是真正实现翻转课堂的有效路径。,0.8
建议重新定位师生角色，,颠倒了教师和学生的角色。,0.36363636363636365,(一)师生角色重定位:,0.36363636363636365
精制课程教学视频，,他们用录屏软件来将他们授课用的课件加以讲解录制成教学视频，,0.5555555555555556,(二)精制课程教学视频:,0.8888888888888888
重建课堂对话。,翻转课堂成为国内外教育界的热门话题。,0.42857142857142855,重建课堂“对话”。,0.8571428571428571
翻转课堂与微课程完美结合，,翻转课堂与微课程完美结合，,0.9230769230769231,“翻转课堂”实践活动设计与任务“非线性编辑”作为一门理论与实践结合并偏重实,0.5384615384615384
为我们现在的课堂教学带来了新的思路。,为我们现在的课堂教学带来了新的思路。,0.7777777777777778,我们利用“翻转课堂”对课程教学进行了革新。,0.3888888888888889
翻转课堂教学模式作为一种人性化的课堂策略，,翻转课堂教学模式作为一种人性化的课堂策略，,0.9047619047619048,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.38095238095238093
为学生提供了个性化的学习空间和多种学习途径，,为学生提供了个性化的学习空间和多种学习途径，,0.8636363636363636,学生通过课前观看教师提供的教学视频习得知识、操作技能。,0.2727272727272727
实现了资源共享，,实现了资源共享，,0.75,强调学生在实践中的参与、体验以及实践之后的反思和共享等对知识习得的作用，,0.375
无形中扩大教学信息量。,无形中扩大教学信息量。,0.9090909090909091,探究活动设计的优劣很大程度上影响着翻转课堂教学活动的质量，,0.36363636363636365
翻转课堂作为一种新型的教学模式，,翻转课堂(FlippedClassroom)是一种新型教学模式，,0.75,[10]翻转课堂作为一种“先使用视频自学，,0.5625
对于学生而言，,翻转课堂教学模式对于学习中等的学生会有明显的效果，,0.5714285714285714,为了便于学生观看和对知识点进行充分讲解，,0.42857142857142855
是学习的一种转变。,强调信息技术为学习方式带来的转变以及对学习的支持。,0.4444444444444444,“非线性编辑”课程是教育技术学专业教育影视技能培养的一门理论与实践结合且偏重实践性的课程，,0.3333333333333333
促进学生个性化学习。,为学生提供了个性化的学习空间和多种学习途径，,0.7,将学生看成是具有较强能动性和具有浓厚兴趣的学习者，,0.5
翻转课堂倡导先学后教的学生自主学习，,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.5,[10]翻转课堂作为一种“先使用视频自学，,0.3888888888888889
学生从知识的被动接受者转变为知识建构的主动参与者，,教师是学生学习的指导者、资源的提供者、课堂活动的组织者，,0.2,[15]学生只有从被动的知识接受者转变为积极主动的学习者，,0.56
学生可根据自身情况来安排和控制自己的学习。,学生按照教师的安排自主学习;,0.3333333333333333,还可以根据学生的实际情况对教学内容进行针对性讲解，,0.2857142857142857
然后将自学过程中遇到的问题与教师和同学进行有针对性地交流讨论，,他们把精力集中在完成练习以及与教师同学的交流上。,0.25806451612903225,还可以根据学生的实际情况对教学内容进行针对性讲解，,0.25806451612903225
这也与建构主义学习观所提倡的在解决问题中学习的思想不谋而合。,这段时间来和学习伙伴讨论自主学习时遇到的问题，,0.2,给学生提供在真实情境中解决问题的锻炼机会，,0.23333333333333334
学生之间互为指导者，,教师是学生学习的指导者、资源的提供者、课堂活动的组织者，,0.5,学生进行自主探适宜的时候进行指导或辅导，,0.4
学生学习的积极性提高，,大部分学生认为该教学模式很好地调动了学习的积极性，,0.6363636363636364,一个能激发学生学习兴趣、引导学习的视频是翻转课堂实施的前提和保障。,0.45454545454545453
同时学生的语言表达、合作能力也得到提高，,也能促进教师教学水平和教育技术能力的提高。,0.25,培养学生表达自我的能力和习惯。,0.3
个性得到发展，,2011年《国家中长期教育改革和发展规划纲要(2010—2020年)》发布以来，,0.2857142857142857,促进学生的个体发展，,0.42857142857142855
创新精神得到培养。,教师应注意引导学生的积极探索以及交流协作精神的培养，,0.4444444444444444,“非线性编辑”课程是教育技术学专业教育影视技能培养的一门理论与实践结合且偏重实践性的课程，,0.2222222222222222
提供学生轻松的学习环境。,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.4166666666666667,“学生在家通过视频学习新知识，,0.3333333333333333
翻转课堂使得学生不再拘泥于只在教室学习，,翻转课堂教学模式有着不同于传统教学模式的特点。,0.45,翻转课堂教学评价重点理应放在改变或推动教学改革的内容上，,0.4
可使用电脑、手机、平板等电子学习工具随时随地学习，,可以提供一些参考书籍、电子课件和教案、微视频教程、相关的专题学习网站等类型的素材。,0.24,是否经常利用QQ、飞信、微信等网络交流手段或面对面的交流手段进行交流是否经常与同学进行合作学习或协作探究是否经常向老师请教或讨论不懂的问题,0.28
学习时间地点自由化，,自己的情况选择资源和自定学习时间。,0.4,课程教学视频资源的视觉效果优教学视频能激发学习兴趣教学视频长度比较适中教师能及时提供视频的重难点讲解手册教学视频的互动性较强,0.4
摆脱传统课堂一些硬性要求带来的束缚和紧绷感。,为现代课堂教学带来了新的思路，,0.18181818181818182,翻转课堂活动组织对教师的教学能力有了更高的要求。,0.18181818181818182
而且教师制作的微视频短小、视觉感强，,教师负责制作微视频课程、提供丰富的资源、布置任务等，,0.4444444444444444,教师则通过制作视频、组织课堂、课后辅导来促进学生的学，,0.3888888888888889
学习氛围轻松。,对学习效果进行分析。,0.2857142857142857,还要求在日常教学中营造讨论分享的氛围，,0.42857142857142855
协作交流等活动的开展为师生互动和生生合作提供了机会，,协作交流等活动的开展为师生互动和生生合作提供了机会，,0.8846153846153846,翻转课堂仅仅为师生、生生提供更加充裕的互动时间是不够的，,0.2692307692307692
能够在很大程度上激发学生学习动机，,能够在很大程度上激发学生学习动机，,0.9411764705882353,一个能激发学生学习兴趣、引导学习的视频是翻转课堂实施的前提和保障。,0.4117647058823529
提高学生自主学习能力，,提高学生自主学习能力，,0.9090909090909091,也对学生的学习能力提出了新要求。,0.5454545454545454
也能促进教师教学水平和教育技术能力的提高。,也能促进教师教学水平和教育技术能力的提高。,0.9047619047619048,教学视频研发者与建构者的角色不仅对教师的视频录制技能、教学设计技能、教学知识处理能力、知识讲解能力等提出了新的要求，,0.38095238095238093
便于开展个性化教学。,随着两位教师的开创性教学实践，,0.4,笔者于2012年秋对信阳师范学院开设的“非线性编辑”课程进行了“翻转课堂”教学实践研究，,0.5
