学生句子,参考文献1中句子,相似度1,参考文献2中句子,相似度2
《基于翻转课堂模式的教学设计及应用研究》基于“翻转课堂”和“微课程”的研究基础，,设计了较为完整的基于翻转课堂模式的教学设计方案，,0.3,笔者于2012年秋对信阳师范学院开设的“非线性编辑”课程进行了“翻转课堂”教学实践研究，,0.275
构建了翻转课堂的教学模型，,2011年美国学者Gerstein[8]最先构建了翻转课堂的教学模型，,0.7692307692307693,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.5384615384615384
并且提出了较为完整的基于翻转课堂教学模式的教学设计方案。,设计了较为完整的基于翻转课堂模式的教学设计方案，,0.6428571428571429,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.32142857142857145
以“计算机应用课程基础”为教学内容，,以“计算机应用基础”课程为例，,0.6111111111111112,笔者于2012年秋对信阳师范学院开设的“非线性编辑”课程进行了“翻转课堂”教学实践研究，,0.3333333333333333
对学生进行对照试验和调问卷调查的研究方法，,采用对照实验和问卷调查研究方法，,0.5714285714285714,同时对授课对象——2010级教育技术学班的65名学生进行问卷调查，,0.42857142857142855
对学习效果进行分析。,对学习效果进行分析。,0.9,2013年第8期(总第244期)二、翻转课堂教学效果分析,0.5
翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.9655172413793104,翻转课堂教学的全过程要求学生积极参与其中，,0.3448275862068966
并且在实践中发现，,在实施的过程中发现它存在着一些弊端，,0.5555555555555556,并在难度上将它们分为知识巩固和技能拓展两类实践活动。,0.4444444444444444
翻转课堂教学模式对于学习中等的学生会有明显的效果；,翻转课堂教学模式对于学习中等的学生会有明显的效果，,0.88,通过“非线性编辑”课程翻转课堂教学实施和教学效果分析发现，,0.36
翻转课堂的实施受人数限制；,翻转课堂的实施受人数限制。,0.8461538461538461,一、翻转课堂的教学准备与实施,0.46153846153846156
在翻转课堂中老师无法监督学生的课前自学情况，,无法监督学生的课前自学情况，,0.5454545454545454,翻转课堂要求教师能根据课程教学的具体要求，,0.3181818181818182
也无法了解学生课前任务的完成情况。,也无法了解学生课前任务的完成情况。,0.8235294117647058,知识学习在课前通过视频自学完成，,0.29411764705882354
《翻转课堂的冷思考：,翻转课堂成为国内外教育界的热门话题。,0.4,固和融会贯通”的“翻转课堂”(theFlippedClassroom，,0.4
实证与反思》主要是探究翻转课堂的效果，,可以保证翻转课堂的有效开展。,0.3157894736842105,要保障翻转课堂的教学效果，,0.3684210526315789
进行了教学实证研究。,政策的制定者虽然对教学理念研究很多，,0.4,笔者于2012年秋对信阳师范学院开设的“非线性编辑”课程进行了“翻转课堂”教学实践研究，,0.7
翻转课堂并没有大幅度提高教学效果。,翻转课堂教学模式对于学习中等的学生会有明显的效果，,0.47058823529411764,翻转课堂并没有明显地提升学生对知识与技能的习得水平。,0.5294117647058824
并从翻转课堂的教学准备与实施方面和翻转课堂教学效果方面进行分析给出了具体的针对性的修改建议。,2翻转课堂教学模型分析与构建,0.1956521739130435,通过“非线性编辑”课程翻转课堂教学实施和教学效果分析发现，,0.32608695652173914
仅仅做到形似而非神似是教学实践效果没有明显提升的主要原因。,教学效果得到显著改善，,0.1724137931034483,学生对非线性编辑的技能并没有较为明显的提升。,0.2413793103448276
要真正实现翻转课堂，,而实施翻转课堂之后，,0.5,进行师生角色重定位、精制课程教学视频、重建课堂对话是真正实现翻转课堂的有效路径。,0.8
建议重新定位师生角色，,颠倒了教师和学生的角色。,0.36363636363636365,(一)师生角色重定位:,0.36363636363636365
精制课程教学视频，,他们用录屏软件来将他们授课用的课件加以讲解录制成教学视频，,0.5555555555555556,(二)精制课程教学视频:,0.8888888888888888
重建课堂对话。,翻转课堂成为国内外教育界的热门话题。,0.42857142857142855,重建课堂“对话”。,0.8571428571428571
国外研究调查显示，,据国外学者调查结果显示，,0.6666666666666666,由此造成课堂活跃程度评价较差(调查数据显示仅有28.,0.4444444444444444
翻转课堂能够有效控制某单一课程不及格人数的比例，,不及格人数比例分别下降到19%和13%[5]。,0.2916666666666667,翻转课堂要求教师能根据课程教学的具体要求，,0.2916666666666667
使单一课程的不及格人数比例下降平均31%左右。,不及格人数比例分别下降到19%和13%[5]。,0.4782608695652174,调查发现“非线性编辑”课程翻转课堂的探究活动组织得比较多(非常多17.,0.17391304347826086
翻转课堂作为一种相对较新的学习模式，,翻转课堂(FlippedClassroom)是一种新型教学模式，,0.5555555555555556,[10]翻转课堂作为一种“先使用视频自学，,0.5
与以往的传统教学模式在课堂上有着一些区别，,它打破了传统的教学模式，,0.2857142857142857,以便教师在课堂上进行专题讲解或组织讨论。,0.2857142857142857
这些区别使得学生对翻转课堂这种模式产生巨大的兴趣，,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.36,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.28
从而产生了学习动机，,能够在很大程度上激发学生学习动机，,0.5,从而利于学生查找、观看与学习。,0.5
使学生在尝试这种新颖的教学模式的过程中更容易接受教学内容，,使得这种方法成为一种新的教学模式，,0.27586206896551724,教师自行录制教学视频不仅能够完全与教师设定的教学目标和教学内容相吻合，,0.2413793103448276
从而达到相对不错的教学效果。,对学习效果进行分析。,0.2857142857142857,如对教师教学质量的评价、对学生学习效果的评价、对课程或教学内容的评价、对教学媒介手段的评价等。,0.35714285714285715
但是这种学习动机是否持续，,教师是学生学习的指导者、资源的提供者、课堂活动的组织者，,0.3076923076923077,不利于学习动机的维持和学习的持续(相关数据见表1)。,0.46153846153846156
能持续多长时间是受到多方面制约的。,我国提出课程改革已有十年多的时间，,0.17647058823529413,以及是否有效促进了学生知识、技能的发展等方面。,0.17647058823529413
这对视频质量、教师课堂角色的转变、学生的学习主动性都提出了要求。,"教师作为课堂指导者、学生学习的帮助者和资源的提供者,",0.3125,教学视频研发者与建构者的角色不仅对教师的视频录制技能、教学设计技能、教学知识处理能力、知识讲解能力等提出了新的要求，,0.34375
翻转课堂中的教学视频作为学生的第一学生内容，,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.4090909090909091,翻转课堂教学评价重点理应放在改变或推动教学改革的内容上，,0.4090909090909091
其质量对学生的学习兴趣及效果采用了至关重要以及直接的作用。,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.3103448275862069,如对教师教学质量的评价、对学生学习效果的评价、对课程或教学内容的评价、对教学媒介手段的评价等。,0.3103448275862069
教师在教学视频当中对于知识讲解深度的把握以及对不同知识点所用时长的把我需要更加的精确，,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.13953488372093023,教学视频研发者与建构者的角色不仅对教师的视频录制技能、教学设计技能、教学知识处理能力、知识讲解能力等提出了新的要求，,0.23255813953488372
这种把握需要建立在对学生情况以及教学内容情况足够的熟悉和了解的程度上，,他们把精力集中在完成练习以及与教师同学的交流上。,0.2,还可以根据学生的实际情况对教学内容进行针对性讲解，,0.2571428571428571
所以视频的质量对教师也提出了一种新的挑战。,可以提供一些参考书籍、电子课件和教案、微视频教程、相关的专题学习网站等类型的素材。,0.19047619047619047,自制教学视频对教师的教学技术和时间提出了挑战。,0.42857142857142855
以及视频的关联形式是否符合学生的认知规律也是一种影响教学效果的因素。,它往往以微视频形式作为翻转课堂课前学生自学的重要资源。,0.23529411764705882,以及是否有效促进了学生知识、技能的发展等方面。,0.20588235294117646
