学生句子,参考文献1中句子,相似度1,参考文献2中句子,相似度2
《翻转课堂的冷思考：,翻转课堂成为国内外教育界的热门话题。,0.4,固和融会贯通”的“翻转课堂”(theFlippedClassroom，,0.4
实证与反思》一文中主要表达了如何正确实施翻转课堂，,而实施翻转课堂之后，,0.24,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.24
抓住翻转课堂的本质，,翻转课堂的实质不在于它运用了哪些高科技或者信息技术，,0.5,探究活动设计的优劣很大程度上影响着翻转课堂教学活动的质量，,0.5
进一步证实“翻转课堂”的过程、方法与注意事项，,目的在于了解学生对翻转课堂教学模式的态度以及对课程实施的意见。,0.2608695652173913,以期掌握有效进行“翻转课堂”教学实践的过程、方法与注意事项，,0.7391304347826086
以促进课堂教学改变。,他创建的可汗学院就是以翻转课堂的教学模式著称。,0.5,促进课堂教学变革。,0.7
这其中包括翻转课堂的教学准备与实施、翻转课堂教学效果分析以及对现行翻转课堂的反思与审视。,目的在于了解学生对翻转课堂教学模式的态度以及对课程实施的意见。,0.25,通过“非线性编辑”课程翻转课堂教学实施和教学效果分析发现，,0.3409090909090909
如果说上一篇文献是对翻转课堂的反思，,微课程可以说是翻转课堂的主要载体，,0.3333333333333333,如果说学生自行观看教学视频是翻转课堂的前提与基础的话，,0.4444444444444444
《基于翻转课堂模式的教学设计及研究应用》这一文献，,设计了较为完整的基于翻转课堂模式的教学设计方案，,0.48,笔者于2012年秋对信阳师范学院开设的“非线性编辑”课程进行了“翻转课堂”教学实践研究，,0.36
就是对翻转课堂的具体分析。,他创建的可汗学院就是以翻转课堂的教学模式著称。,0.46153846153846156,基于“翻转课堂”教学的具体形式，,0.46153846153846156
本文以一个翻转课堂的模式设计者视角对翻转课堂的具体实施步骤进行分析。,实验组班级采用本文论述的翻转课堂教学模式进行教学，,0.29411764705882354,一个能激发学生学习兴趣、引导学习的视频是翻转课堂实施的前提和保障。,0.2647058823529412
包括翻转课堂的研究基础、教学模型构建、教学设计、实验过程及学习效果分析以及总结与思考。,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.2558139534883721,通过“非线性编辑”课程翻转课堂教学实施和教学效果分析发现，,0.27906976744186046
第一篇文献中，,【中图分类号】G40-057【文献标识码】A【论文编号】1009—8097(2014)02—0049—06【DOI】10.,0.2857142857142857,观看课程教学视频是翻转课堂教学的第一步，,0.2857142857142857
全文从翻转课堂的参与实施者视角对课堂模式进行分析，,实验组班级采用本文论述的翻转课堂教学模式进行教学，,0.36,还没有看到从实证的角度对翻转课堂进行研究的案例。,0.32
主要提出了翻转课堂的具体实施步骤，,文章提出了翻转课堂的教学模型，,0.35294117647058826,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.35294117647058826
还有我们现在所实施的翻转课堂所存在的不足之处，,而实施翻转课堂之后，,0.30434782608695654,我们虽在“形”上实施了翻转课堂，,0.391304347826087
