学生句子,参考文献1中句子,相似度1,参考文献2中句子,相似度2
《翻转课堂的冷思考:,翻转课堂成为国内外教育界的热门话题。,0.4,固和融会贯通”的“翻转课堂”(theFlippedClassroom，,0.4
实证与反思》文章提出了翻转课堂通过“课前观看视频学习知识、课上知识内化”的方式实现了对传统课堂教学的革新。,文章提出了翻转课堂的教学模型，,0.18867924528301888,学生通过课前观看教师提供的教学视频习得知识、操作技能。,0.22641509433962265
为检验其效果，,四实验过程及学习效果分析,0.42857142857142855,绝大多数学生认为本课程的教学视频资源的视觉效果较好，,0.42857142857142855
我们进行了教学实证研究。,政策的制定者虽然对教学理念研究很多，,0.3333333333333333,笔者于2012年秋对信阳师范学院开设的“非线性编辑”课程进行了“翻转课堂”教学实践研究，,0.5833333333333334
翻转课堂并没有大幅度提高教学效果。,翻转课堂教学模式对于学习中等的学生会有明显的效果，,0.47058823529411764,翻转课堂并没有明显地提升学生对知识与技能的习得水平。,0.5294117647058824
仅仅做到形似而非神似是教学实践效果没有明显提升的主要原因。,教学效果得到显著改善，,0.1724137931034483,学生对非线性编辑的技能并没有较为明显的提升。,0.2413793103448276
所以如果要真正实现翻转课堂，,他创建的可汗学院就是以翻转课堂的教学模式著称。,0.35714285714285715,进行师生角色重定位、精制课程教学视频、重建课堂对话是真正实现翻转课堂的有效路径。,0.5714285714285714
应该重新定位师生的角色，,颠倒了教师和学生的角色。,0.3333333333333333,(一)师生角色重定位:,0.3333333333333333
制作精致的课程教学视频，,他们用录屏软件来将他们授课用的课件加以讲解录制成教学视频，,0.4166666666666667,(二)精制课程教学视频:,0.5833333333333334
重建课堂对话。,翻转课堂成为国内外教育界的热门话题。,0.42857142857142855,重建课堂“对话”。,0.8571428571428571
《基于翻转课堂模式的教学设计及应用研究》文章提出了翻转课堂的教学模型，,文章提出了翻转课堂的教学模型，,0.34285714285714286,笔者于2012年秋对信阳师范学院开设的“非线性编辑”课程进行了“翻转课堂”教学实践研究，,0.2571428571428571
以“计算机应用基础”课程为例，,以“计算机应用基础”课程为例，,0.9333333333333333,我们依据历年该课程评价的方式——以“非线性编辑”课程作品评价量规为工具，,0.4
介绍了翻转课堂的定义及载体，,微课程可以说是翻转课堂的主要载体，,0.42857142857142855,基于“翻转课堂”教学的具体形式，,0.35714285714285715
设计了较为完整的基于翻转课堂模式的教学设计方案，,设计了较为完整的基于翻转课堂模式的教学设计方案，,0.8333333333333334,基于“翻转课堂”教学的具体形式，,0.3333333333333333
在教学实践中，,在教学实践中，,0.8571428571428571,在“非线性编辑”课程翻转课堂教学实践中，,0.8571428571428571
采用对照实验和问卷调查研究方法，,采用对照实验和问卷调查研究方法，,0.9375,同时对授课对象——2010级教育技术学班的65名学生进行问卷调查，,0.3125
对学习效果进行分析。,对学习效果进行分析。,0.9,2013年第8期(总第244期)二、翻转课堂教学效果分析,0.5
翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.9655172413793104,翻转课堂教学的全过程要求学生积极参与其中，,0.3448275862068966
第一篇文献里主要讲述的是对翻转课堂的实证与反思，,萨尔曼•可汗也是翻转课堂教学实施的领军人物。,0.25,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.2916666666666667
在如今这个信息化的时代里，,它为学习者构建个性化的信息化的协作学习环境创造条件。,0.3076923076923077,翻转课堂教学最大的变化是知识传授在课下通过信息技术的帮助来完成，,0.23076923076923078
越来越多的讲课模式也腾空出世，,得到越来越多的教师关注。,0.26666666666666666,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.2
但是是否每一个教学的模式都是适合的，,世界上并不存在一种完美的教学模式适合所有的教学。,0.3888888888888889,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.2777777777777778
需要我们的验证。,也需要我们在实践中检验与突破种种,0.625,我们利用“翻转课堂”对课程教学进行了革新。,0.25
最终采用了以计算机课堂为教学案例，,以“计算机应用基础”课程为例，,0.4117647058823529,以期掌握有效进行“翻转课堂”教学实践的过程、方法与注意事项，,0.29411764705882354
采用对照试验的方法，,采用对照实验和问卷调查研究方法，,0.7,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.2
挑选了实验班和对照班两组学生，,实验班和对照班学生基础相当;,0.6,同时对授课对象——2010级教育技术学班的65名学生进行问卷调查，,0.26666666666666666
进行普通教学和翻转课堂教学。,他创建的可汗学院就是以翻转课堂的教学模式著称。,0.5,笔者于2012年秋对信阳师范学院开设的“非线性编辑”课程进行了“翻转课堂”教学实践研究，,0.5714285714285714
在设计这次教学时的主要步骤有：,设计了较为完整的基于翻转课堂模式的教学设计方案，,0.26666666666666666,教学视频研发者与建构者的角色不仅对教师的视频录制技能、教学设计技能、教学知识处理能力、知识讲解能力等提出了新的要求，,0.3333333333333333
教师的准备活动——教师在课前要准备教学资源，,教师在课前要准备教学资源，,0.5454545454545454,实现翻转的“基”传统的“教师—书本—课堂”式的教学方式，,0.3181818181818182
可以提供一些参考书籍、电子课件和教案、微视频教程、相关的专题学习网站等类型的素材。,可以提供一些参考书籍、电子课件和教案、微视频教程、相关的专题学习网站等类型的素材。,0.926829268292683,可以通过面对面交谈、网络交流(如QQ、飞信、微信等)等方式向教师请教或与同学讨论来解决。,0.17073170731707318
微视频的制作是资源准备中的核心内容。,微视频的制作是资源准备中的核心内容。,0.8333333333333334,“翻转课堂”视频录制与准备,0.2777777777777778
这就要求老师也需要在课前阅读大量的文献内容，,教师在课前要准备教学资源，,0.18181818181818182,这必然要求教师能根据具体的课程内容和学习实际，,0.2727272727272727
相比与传统教学需要教师的知识面也要广泛，,涉及信息技术与课程整合、信息化环境下的教与学方式、信息化教学设计等方面的探讨，,0.25,教学视频研发者与建构者的角色不仅对教师的视频录制技能、教学设计技能、教学知识处理能力、知识讲解能力等提出了新的要求，,0.35
需要掌握录制课程的技能，,最后也需要教师具有较高的教育技术能力。,0.3333333333333333,不仅要求学生掌握基本的操作技能，,0.4166666666666667
选取资料的技能并将这些与自己课堂教学相联系。,涉及信息技术与课程整合、信息化环境下的教与学方式、信息化教学设计等方面的探讨，,0.22727272727272727,教师自行录制教学视频不仅能够完全与教师设定的教学目标和教学内容相吻合，,0.22727272727272727
——在上课之前学生需要涉猎这些资料，,它往往以微视频形式作为翻转课堂课前学生自学的重要资源。,0.3333333333333333,教师要在课堂中敏感地意识到多数学生的困惑，,0.2222222222222222
看微视频学习课程。,可汗学院中的微视频课程受到了广大学生的高度喜爱。,0.5555555555555556,我们按照教学视频资源、课堂活动组织、交流与沟通和学习成效等四个维度设计并制作了“非线性编辑”课程教学效果调查问卷。,0.6666666666666666
这就要求学生能有自主性，,要求学生有较高的自主学习能力;,0.5833333333333334,不仅要求学生掌握基本的操作技能，,0.4166666666666667
能按要求完成学习。,并传到网上供那些因故不能按时上课的学生补习使用。,0.4444444444444444,并通过完成技能巩固类实践活动任务来检查学习中存在的问题或不足。,0.4444444444444444
——主要包括合作探究阶段，,(1)合作探究阶段合作探究阶段由教师安排任务或提出相关问题，,0.46153846153846156,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.3076923076923077
