学生句子,参考文献1中句子,相似度1,参考文献2中句子,相似度2
摘要通过研究两篇有关于翻转课堂的文献，,设计了较为完整的基于翻转课堂模式的教学设计方案，,0.2631578947368421,通过“非线性编辑”课程翻转课堂教学实施和教学效果分析发现，,0.3157894736842105
通过内容研究方法，,采用对照实验和问卷调查研究方法，,0.4444444444444444,国内学者也进行了相关研究，,0.3333333333333333
来分析了翻转课堂的一些关注问题。,利用哪些平台能够辅助翻转课堂的实施等一系列问题还需要我们做,0.4375,以期掌握有效进行“翻转课堂”教学实践的过程、方法与注意事项，,0.3125
研究内容几个方面进行简单论述。,采用对照实验和问卷调查研究方法，,0.2,可以从以下几个方面进行转变。,0.4
得出了现代翻转课堂的教学模式虽然是有一定的进步仍需要努力。,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.3103448275862069,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.27586206896551724
【关键字】翻转课堂反思在《基于翻转课堂模式的教学设计及应用研究》中，,设计了较为完整的基于翻转课堂模式的教学设计方案，,0.35294117647058826,笔者于2012年秋对信阳师范学院开设的“非线性编辑”课程进行了“翻转课堂”教学实践研究，,0.2647058823529412
提出了翻转课堂的教学模型。,文章提出了翻转课堂的教学模型，,0.7692307692307693,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.5384615384615384
并以“计算机应用基础”课程为例，,以“计算机应用基础”课程为例，,0.875,我们依据历年该课程评价的方式——以“非线性编辑”课程作品评价量规为工具，,0.375
设计了较为完整的基于翻转课堂模式的教学设计方案，,设计了较为完整的基于翻转课堂模式的教学设计方案，,0.8333333333333334,基于“翻转课堂”教学的具体形式，,0.3333333333333333
在教学实践中，,在教学实践中，,0.8571428571428571,在“非线性编辑”课程翻转课堂教学实践中，,0.8571428571428571
采用对照实验和问卷调查研究方法，,采用对照实验和问卷调查研究方法，,0.9375,同时对授课对象——2010级教育技术学班的65名学生进行问卷调查，,0.3125
对学习效果进行分析。,对学习效果进行分析。,0.9,2013年第8期(总第244期)二、翻转课堂教学效果分析,0.5
翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.9655172413793104,翻转课堂教学的全过程要求学生积极参与其中，,0.3448275862068966
在《翻转课堂的冷思考：,在翻转课堂中，,0.45454545454545453,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.45454545454545453
实证与反思》中，,在教学实践中，,0.25,强调学生在实践中的参与、体验以及实践之后的反思和共享等对知识习得的作用，,0.5
为检验翻转课堂其效果，,翻转课堂教学模式对于学习中等的学生会有明显的效果，,0.5454545454545454,为有效确定翻转课堂的效果，,0.6363636363636364
卢强等研究者进行了教学实证研究。,政策的制定者虽然对教学理念研究很多，,0.3125,笔者于2012年秋对信阳师范学院开设的“非线性编辑”课程进行了“翻转课堂”教学实践研究，,0.5
翻转课堂并没有大幅度提高教学效果。,翻转课堂教学模式对于学习中等的学生会有明显的效果，,0.47058823529411764,翻转课堂并没有明显地提升学生对知识与技能的习得水平。,0.5294117647058824
仅仅做到形似而非神似是教学实践效果没有明显提升的主要原因。,教学效果得到显著改善，,0.1724137931034483,学生对非线性编辑的技能并没有较为明显的提升。,0.2413793103448276
要真正实现翻转课堂，,而实施翻转课堂之后，,0.5,进行师生角色重定位、精制课程教学视频、重建课堂对话是真正实现翻转课堂的有效路径。,0.8
建议重新定位师生角色，,颠倒了教师和学生的角色。,0.36363636363636365,(一)师生角色重定位:,0.36363636363636365
精制课程教学视频，,他们用录屏软件来将他们授课用的课件加以讲解录制成教学视频，,0.5555555555555556,(二)精制课程教学视频:,0.8888888888888888
重建课堂对话。,翻转课堂成为国内外教育界的热门话题。,0.42857142857142855,重建课堂“对话”。,0.8571428571428571
在第一篇文献中，,在教学实践中，,0.25,如在“素材采集、导入与管理”模块中，,0.25
主要为了探讨翻转课堂在提高学生成绩和提高学生学习积极性方面有没有积极地作用。,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.4473684210526316,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.23684210526315788
所以他们首先研究了什么是翻转课堂，,他创建的可汗学院就是以翻转课堂的教学模式著称。,0.35294117647058826,那么互动交流则是翻转课堂之所以能够颠覆传统的授受主义教学方式的缘由。,0.35294117647058826
提出翻转课堂的理论知识架构，,1翻转课堂理论框架,0.5,“翻转课堂”实践活动设计与任务“非线性编辑”作为一门理论与实践结合并偏重实,0.42857142857142855
进行翻转课堂模式的设计和应用。,设计了较为完整的基于翻转课堂模式的教学设计方案，,0.5333333333333333,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.4
最终采用了以计算机课堂为教学案例，,以“计算机应用基础”课程为例，,0.4117647058823529,以期掌握有效进行“翻转课堂”教学实践的过程、方法与注意事项，,0.29411764705882354
采用对照试验的方法，,采用对照实验和问卷调查研究方法，,0.7,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.2
挑选了实验班和对照班两组学生，,实验班和对照班学生基础相当;,0.6,同时对授课对象——2010级教育技术学班的65名学生进行问卷调查，,0.26666666666666666
进行普通教学和翻转课堂教学。,他创建的可汗学院就是以翻转课堂的教学模式著称。,0.5,笔者于2012年秋对信阳师范学院开设的“非线性编辑”课程进行了“翻转课堂”教学实践研究，,0.5714285714285714
在设计这次教学时的主要步骤有：,设计了较为完整的基于翻转课堂模式的教学设计方案，,0.26666666666666666,教学视频研发者与建构者的角色不仅对教师的视频录制技能、教学设计技能、教学知识处理能力、知识讲解能力等提出了新的要求，,0.3333333333333333
教师的准备活动——教师在课前要准备教学资源，,教师在课前要准备教学资源，,0.5454545454545454,实现翻转的“基”传统的“教师—书本—课堂”式的教学方式，,0.3181818181818182
可以提供一些参考书籍、电子课件和教案、微视频教程、相关的专题学习网站等类型的素材。,可以提供一些参考书籍、电子课件和教案、微视频教程、相关的专题学习网站等类型的素材。,0.926829268292683,可以通过面对面交谈、网络交流(如QQ、飞信、微信等)等方式向教师请教或与同学讨论来解决。,0.17073170731707318
微视频的制作是资源准备中的核心内容。,微视频的制作是资源准备中的核心内容。,0.8333333333333334,“翻转课堂”视频录制与准备,0.2777777777777778
这就要求老师也需要在课前阅读大量的文献内容，,教师在课前要准备教学资源，,0.18181818181818182,这必然要求教师能根据具体的课程内容和学习实际，,0.2727272727272727
相比与传统教学需要教师的知识面也要广泛，,涉及信息技术与课程整合、信息化环境下的教与学方式、信息化教学设计等方面的探讨，,0.25,教学视频研发者与建构者的角色不仅对教师的视频录制技能、教学设计技能、教学知识处理能力、知识讲解能力等提出了新的要求，,0.35
需要掌握录制课程的技能，,最后也需要教师具有较高的教育技术能力。,0.3333333333333333,不仅要求学生掌握基本的操作技能，,0.4166666666666667
选取资料的技能并将这些与自己课堂教学相联系。,涉及信息技术与课程整合、信息化环境下的教与学方式、信息化教学设计等方面的探讨，,0.22727272727272727,教师自行录制教学视频不仅能够完全与教师设定的教学目标和教学内容相吻合，,0.22727272727272727
——在上课之前学生需要涉猎这些资料，,它往往以微视频形式作为翻转课堂课前学生自学的重要资源。,0.3333333333333333,教师要在课堂中敏感地意识到多数学生的困惑，,0.2222222222222222
看微视频学习课程。,可汗学院中的微视频课程受到了广大学生的高度喜爱。,0.5555555555555556,我们按照教学视频资源、课堂活动组织、交流与沟通和学习成效等四个维度设计并制作了“非线性编辑”课程教学效果调查问卷。,0.6666666666666666
这就要求学生能有自主性，,要求学生有较高的自主学习能力;,0.5833333333333334,不仅要求学生掌握基本的操作技能，,0.4166666666666667
能按要求完成学习。,并传到网上供那些因故不能按时上课的学生补习使用。,0.4444444444444444,并通过完成技能巩固类实践活动任务来检查学习中存在的问题或不足。,0.4444444444444444
——主要包括合作探究阶段，,(1)合作探究阶段合作探究阶段由教师安排任务或提出相关问题，,0.46153846153846156,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.3076923076923077
个性化指导阶段，,(2)个性化指导阶段个性化指导阶段为教师为各个小组解答疑惑的过程。,0.875,设计了包括“课前自学、课中内化讨论和课后升华”三个阶段的翻转课堂实施过程(见图1)。,0.375
巩固练习阶段，,(3)巩固练习阶段根据教师的个性化指导之后，,0.8571428571428571,知识巩固类实践活动是针对视频讲解而设计的具体操作练习式的实践活动任务，,0.5714285714285714
总结点拨阶段，,(4)总结点拨阶段,0.8571428571428571,[4]结合“非线性编辑”课程特点和大学生学习特征，,0.2857142857142857
反馈评价阶段。,(5)反馈评价阶段,0.8571428571428571,如对教师教学质量的评价、对学生学习效果的评价、对课程或教学内容的评价、对教学媒介手段的评价等。,0.42857142857142855
在完成这几个阶段的教学后，,他们把精力集中在完成练习以及与教师同学的交流上。,0.38461538461538464,我们按照教学视频资源、课堂活动组织、交流与沟通和学习成效等四个维度设计并制作了“非线性编辑”课程教学效果调查问卷。,0.3076923076923077
