学生句子,参考文献1中句子,相似度1,参考文献2中句子,相似度2
随着信息技术发展，,随着信息技术和教学理念的不断更新，,0.6666666666666666,翻转课堂教学最大的变化是知识传授在课下通过信息技术的帮助来完成，,0.4444444444444444
传统的文献教学模式在创新和高素质人才培养方面存在不足之处，,它打破了传统的教学模式，,0.20689655172413793,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.20689655172413793
通过调查分析与实践，,3调查问卷分析,0.4,并通过完成技能巩固类实践活动任务来检查学习中存在的问题或不足。,0.4
在课堂中引入“翻转课堂”的模式，,目的在于了解学生对翻转课堂教学模式的态度以及对课程实施的意见。,0.4375,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.4375
对提高学生学习与兴趣有积极作用。,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.875,一个能激发学生学习兴趣、引导学习的视频是翻转课堂实施的前提和保障。,0.375
在翻转课堂中，,在翻转课堂中，,0.8571428571428571,在“非线性编辑”课程翻转课堂教学实践中，,0.8571428571428571
学生是自动自主的学习者，,提高学生自主学习能力，,0.5,将学生看成是具有较强能动性和具有浓厚兴趣的学习者，,0.5833333333333334
通过教师提供的资源，,教师负责制作微视频课程、提供丰富的资源、布置任务等，,0.6,学生通过课前观看教师提供的教学视频习得知识、操作技能。,0.6
进行课前学习。,地进行课前自主学习，,0.8571428571428571,并针对“知识点组”进行课前教学视频录制，,0.7142857142857143
教师是学生学习的指导者、资源的提供者、课堂活动的组织者，,教师是学生学习的指导者、资源的提供者、课堂活动的组织者，,0.8571428571428571,我们按照教学视频资源、课堂活动组织、交流与沟通和学习成效等四个维度设计并制作了“非线性编辑”课程教学效果调查问卷。,0.39285714285714285
负责个别化指导和答疑解惑。,个别化指导和答疑解惑。,0.7692307692307693,同时还肩负着对“如何应用理论知识指导实践，,0.23076923076923078
"当代西方正在开展一场整体性的教学改革,",为教学改革的开展注入了新的活力。,0.21052631578947367,翻转课堂教学评价重点理应放在改变或推动教学改革的内容上，,0.2631578947368421
"在这样一场改革中,",有专家认为其中一个重要原因是课程改革是自上而下推进的，,0.3333333333333333,在这样的安全感及成功的体验中，,0.4444444444444444
一种充分调动学生自主学习的远程的新型课堂形式以及具有“生成意义”和“动态性”的后现代课程范式与知识观被众多学者所推崇。,目的在于了解学生对翻转课堂教学模式的态度以及对课程实施的意见。,0.15254237288135594,我们按照教学视频资源、课堂活动组织、交流与沟通和学习成效等四个维度设计并制作了“非线性编辑”课程教学效果调查问卷。,0.1694915254237288
教育如何提高学生的学习能力、实践能力和创新能力从而促进学生全面与个性发展相统一是国家中长期教育改革的重要课题之一。,2011年《国家中长期教育改革和发展规划纲要(2010—2020年)》发布以来，,0.17543859649122806,教学视频研发者与建构者的角色不仅对教师的视频录制技能、教学设计技能、教学知识处理能力、知识讲解能力等提出了新的要求，,0.17543859649122806
翻转课堂的提出既有好的一面，,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.42857142857142855,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.35714285714285715
可以提高学生自主学习的主动性与积极性，,"以挖掘学习者学习的潜力、发挥学习者的主动学习积极性,",0.47368421052631576,还可以根据学生的实际情况对教学内容进行针对性讲解，,0.2631578947368421
让同学自己发现问题，,之后学生要总结自己学到的知识以及存在的问题，,0.5,是否经常利用QQ、飞信、微信等网络交流手段或面对面的交流手段进行交流是否经常与同学进行合作学习或协作探究是否经常向老师请教或讨论不懂的问题,0.4
加深对问题的理解。,后教师针对各个小组出现的问题将重点问题与重点知识集中讲授，,0.3333333333333333,加深学生对问题的理解。,0.7777777777777778
一部分学生在课下不会努力，,即学生在家里看视频代替老师的课堂讲解，,0.3076923076923077,给学生提供在真实情境中解决问题的锻炼机会，,0.3076923076923077
从而达不到应该达到的高度。,可汗学院中的微视频课程受到了广大学生的高度喜爱。,0.23076923076923078,从而达成教学目标。,0.23076923076923078
学习好的同学在学习的过程中担当了老师的一部分职责，,我们将模型的整个过程分为课前和课中两部分。,0.2,课程教学视频资源的视觉效果优教学视频能激发学习兴趣教学视频长度比较适中教师能及时提供视频的重难点讲解手册教学视频的互动性较强,0.24
减轻了老师的负担，,即学生在家里看视频代替老师的课堂讲解，,0.2222222222222222,是否经常利用QQ、飞信、微信等网络交流手段或面对面的交流手段进行交流是否经常与同学进行合作学习或协作探究是否经常向老师请教或讨论不懂的问题,0.2222222222222222
但同时分去了自己的学习时间，,自己的情况选择资源和自定学习时间。,0.42857142857142855,自制教学视频对教师的教学技术和时间提出了挑战。,0.2857142857142857
不利于自己的学习。,自己的情况选择资源和自定学习时间。,0.4444444444444444,不利于学习动机的维持和学习的持续(相关数据见表1)。,0.5555555555555556
通过翻转课堂，,翻转课堂成为国内外教育界的热门话题。,0.5714285714285714,通过“非线性编辑”课程翻转课堂教学实施和教学效果分析发现，,0.8571428571428571
学生可以有更多的时间可以去更好的钻研自己所感兴趣的部分。,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.17857142857142858,将学生看成是具有较强能动性和具有浓厚兴趣的学习者，,0.17857142857142858
拿初中信息技术来说，,强调信息技术为学习方式带来的转变以及对学习的支持。,0.5,翻转课堂教学最大的变化是知识传授在课下通过信息技术的帮助来完成，,0.5
"初中信息技术是一门兼具基础性、综合性、发展性和技术性等特点的操作应用型课程,",涉及信息技术与课程整合、信息化环境下的教与学方式、信息化教学设计等方面的探讨，,0.18421052631578946,“非线性编辑”课程是教育技术学专业教育影视技能培养的一门理论与实践结合且偏重实践性的课程，,0.21052631578947367
